INSTNM,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,CCUGPROF,ADM_RATE,SAT_AVG,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,COSTT4_A,COSTT4_P,PCTFLOAN,GRAD_DEBT_MDN,FEMALE,MEDIAN_HH_INC,UGDS_MEN,UGDS_WOMEN,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_HISPANIC,PCT_BA,PCT_GRAD_PROF,PCT_BORN_US,MD_EARN_WNE_P10,MD_EARN_WNE_P6,TRANS_4,CONTROL,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD
Alabama A & M University,Normal,AL,35762,34.783368,-86.568502,10,0.6538,850,0.0446,0.0023,0.0094,0,0,0.0164,0.0634,0,0.1268,0.1432,0.0587,0,0.0188,0,0.0235,0.0423,0,0.1009,0.0094,0,0,0,0,0,0.0188,0,0.0282,0.0282,0.0516,0.0399,0,0,0,0,0.0258,0,0.1479,0,4505,0.0388,0.0014,0.0459,0.9055,0.003,0.0027,0.0027,20809,NULL,0.8159,35000,0.547242712,49720.22,0.4617,0.5383,46.84000015,47.97999954,1.480000019,3.789999962,13,6.860000134,94.73999786,29900,23100,0.4012,1,0.034,0.9216,0.0058,0.0018,0.0022,0.0018,0,0.0062,0.0266,0.0272,0.9543,0.0025,0.002,0.0033
University of Alabama at Birmingham,Birmingham,AL,35294-0110,33.50223,-86.80917,9,0.6043,1147,0,0,0,0.0009,0.0426,0,0.0133,0,0.0815,0.0577,0,0.0069,0,0,0.0192,0.0179,0,0.0715,0.0124,0,0,0,0.0073,0,0.0174,0,0.087,0.0366,0.0238,0.0408,0,0,0,0,0.0376,0.2231,0.1837,0.0188,11269,0.0331,0.0266,0.6124,0.2861,0.0286,0.0031,0.0101,22232,NULL,0.5218,21500,0.636968353,55735.22,0.4116,0.5884,69.01999664,27.76000023,1.100000024,2.029999971,15.93000031,8.550000191,96.5,40200,34000,0.2423,1,0.5863,0.2541,0.0317,0.0595,0.0023,0.0006,0.0389,0.0181,0.0085,0.607,0.2624,0.0419,0.0048,0.0183
Amridge University,Montgomery,AL,36117-3553,32.362609,-86.17401,5,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0.2453,0,0,0.0566,0,0,0,0,0,0,0,0.1698,0,0,0,0.1321,0,0,0,0,0,0,0,0,0.3962,0,308,0,0,0.6837,0.2347,0.0204,0,0.0612,12133,NULL,0.8781,23000,0.604395604,53683.7,0.4286,0.5714,70.87999725,22.53000069,1.289999962,6.940000057,13.22999954,7.010000229,94.08999634,40100,33200,0.4,2,0.211,0.3409,0.0195,0,0,0.0032,0,0,0.4253,0.4602,0.383,0.0129,0.0026,0.0463
University of Alabama in Huntsville,Huntsville,AL,35899,34.722818,-86.63842,9,0.812,1221,0,0,0,0,0.0216,0,0.0315,0,0.0216,0.3027,0,0.0162,0,0,0.0126,0,0,0.0712,0.0198,0,0.0009,0,0.0072,0,0.0216,0,0.0171,0,0,0.0189,0,0,0,0,0.0288,0.1892,0.2072,0.0117,5829,0.041,0.0487,0.6912,0.1435,0.0366,0.0205,0.0186,20999,NULL,0.4589,23500,0.477920883,58688.62,0.574,0.426,76.37999725,18.97999954,1.419999957,2.549999952,17.67000008,8.909999847,95.26999664,45600,35500,0.3178,1,0.7024,0.123,0.0417,0.0381,0.013,0,0.0201,0.0317,0.03,0.7262,0.1469,0.029,0.017,0.024
Alabama State University,Montgomery,AL,36104-0271,32.364317,-86.295677,10,0.4639,844,0,0,0,0,0.0945,0,0.0567,0,0.1531,0,0,0,0,0,0.0284,0,0,0.0794,0.0302,0,0,0.0151,0,0,0.0265,0,0.0624,0.1342,0.0548,0.0151,0,0,0,0,0.0473,0.0926,0.0983,0.0113,4740,0.003,0.0313,0.0435,0.9172,0.0018,0.0005,0.0028,18100,NULL,0.7692,32091,0.612294094,46065.2,0.385,0.615,42.68999863,52.31999969,1.409999967,4.090000153,11.81000042,6.760000229,94.52999878,26700,21000,0,1,0.0165,0.9251,0.0116,0.0032,0.0008,0.0006,0.0114,0.0209,0.0099,0,0,0,0,0
The University of Alabama,Tuscaloosa,AL,35487-0166,33.2144,-87.545766,14,0.5359,1181,0,0.0039,0,0.0035,0.107,0,0.0067,0,0.0696,0.0788,0,0.0071,0.0714,0,0.0164,0,0,0.0378,0.0083,0,0.0256,0,0.0041,0,0.0095,0,0.035,0.0286,0.0102,0.0364,0,0,0,0,0.0295,0.1065,0.2886,0.0155,31005,0.0244,0,0.8053,0.145,0.0105,0.0061,0.0086,27205,NULL,0.4059,23750,0.607564495,57928.41,0.4525,0.5475,75.34999847,21.05999947,1.200000048,2.410000086,16.47999954,9.210000038,96.08000183,42700,34800,0.2215,1,0.7807,0.1092,0.0399,0.0113,0.0035,0.0009,0.0271,0.0245,0.0029,0.8349,0.1175,0.0111,0.0057,0.022
Central Alabama Community College,Alexander City,AL,35010,32.924429,-85.94653,2,NULL,NULL,0,0,0,0,0,0,0.0189,0.022,0,0,0.044,0,0,0,0,0.3742,0,0,0,0,0.0346,0,0,0,0,0,0,0,0,0,0,0.022,0.0849,0,0,0.2453,0.1541,0,1546,0.0044,0.0013,0.773,0.208,0.0038,0.0051,0.0044,11475,NULL,0.3574,9388,0.593531469,43985.14,0.4017,0.5983,71.51000214,26.89999962,0.219999999,1.00999999,7.96999979,4.550000191,98.84999847,27200,23500,NULL,1,0.7141,0.26,0.0123,0.0045,0.0019,0,0.0032,0.0019,0.0019,0,0,0,0,0
Athens State University,Athens,AL,35611,34.805625,-86.96514,5,NULL,NULL,0,0,0,0,0,0,0.0501,0,0.2303,0,0,0,0,0,0.0363,0.0551,0,0.015,0.0225,0,0.015,0.0088,0.01,0,0.005,0,0.0325,0.0263,0,0.0288,0,0,0,0,0.0263,0.01,0.4205,0.0075,2904,0,0.0162,0.8392,0.1187,0.0056,0.0165,0.0038,NULL,NULL,0.6512,18534,0.68673927,50752.1,0.3485,0.6515,83.88999939,12.26000023,0.649999976,2.400000095,11.89000034,6.170000076,96.95999908,38500,32900,NULL,1,0.7817,0.1185,0.0189,0.0062,0.0152,0.0007,0.0189,0.0055,0.0344,0,0,0,0,0
Auburn University at Montgomery,Montgomery,AL,36117-3596,32.369939,-86.177351,9,0.7871,990,0,0.0017,0,0,0.0588,0,0,0,0.079,0,0,0.0067,0,0,0.0319,0.037,0,0.0571,0.0067,0,0,0.0336,0,0,0.0235,0,0.0387,0.0471,0,0.0336,0,0,0,0,0.0286,0.2555,0.2471,0.0134,4142,0.0088,0.0068,0.6318,0.3189,0.0178,0.0046,0.0112,18665,NULL,0.5584,22192.5,0.68389753,50723.81,0.3595,0.6405,59.97000122,37.20999908,0.910000026,1.620000005,14.72000027,9.090000153,96.84999847,33500,29900,0.4769,1,0.5355,0.351,0.007,0.0241,0.0051,0.0017,0.0316,0.0316,0.0123,0.5896,0.3166,0.0156,0.0049,0.012
Auburn University,Auburn,AL,36849,32.604685,-85.482782,15,0.7766,1218,0.0433,0.0152,0.0175,0,0.0533,0,0.0066,0,0.0939,0.1741,0,0.0135,0.0331,0,0.0155,0,0,0.0873,0.0091,0,0.0223,0,0.0015,0,0.0135,0,0.0329,0,0.0214,0.0407,0,0,0,0,0.0367,0.0575,0.1989,0.0122,21551,0.0086,0.0014,0.896,0.0694,0.0116,0.0047,0.0083,29164,NULL,0.347,21500,0.520596312,59005.4,0.5095,0.4905,75.90000153,19.79999924,1.649999976,2.890000105,17.93000031,10.81999969,94.91999817,47100,37500,0.1872,1,0.842,0.0671,0.0323,0.025,0.0063,0.0001,0.0057,0.0131,0.0085,0.86,0.0776,0.0182,0.0064,0.0218
Birmingham Southern College,Birmingham,AL,35254,33.515453,-86.853636,14,0.5306,1167,0,0.0225,0,0,0.009,0,0,0,0.0495,0.009,0,0.0135,0,0,0.0405,0,0,0.1261,0.0405,0,0.027,0,0.0315,0,0.0721,0,0.1081,0,0,0.0856,0,0,0,0,0.0991,0,0.2207,0.045,1346,0.0022,0.0029,0.8437,0.1039,0.0358,0.0065,0.005,46730,NULL,0.4633,26850,0.513333333,64789.39,0.5022,0.4978,78.90000153,17.40999985,1.389999986,2.460000038,20.90999985,11.67000008,95.69000244,45600,32100,0,2,0.7912,0.1137,0.0208,0.0535,0.0097,0,0.0089,0,0.0022,0.8263,0.0836,0.0411,0.006,0.0186
Chattahoochee Valley Community College,Phenix City,AL,36869,32.42391,-85.031485,2,NULL,NULL,0,0,0,0,0,0,0.0575,0,0,0,0.0354,0,0,0,0,0.3982,0,0,0,0,0,0,0,0,0,0,0,0.0796,0,0,0,0,0,0,0.0044,0.2743,0.1504,0,1566,0,0.0212,0.5955,0.3387,0.0109,0.0034,0.0303,6920,NULL,0.3058,9389.5,0.610361959,46908.55,0.387,0.613,57.52999878,38.68000031,0.850000024,2.859999895,9.619999886,5.460000038,94.87999725,26300,22000,NULL,1,0.4662,0.4393,0.0453,0.0109,0.0038,0.0057,0.0166,0,0.0121,0,0,0,0,0
Concordia College Alabama,Selma,AL,36701,32.42443,-87.023531,11,0.4034,NULL,0,0,0,0,0,0,0,0,0.1765,0,0,0,0,0,0,0.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3725,0,379,0.062,0,0.0432,0.8947,0,0,0,27036,NULL,0.9249,36870,0.280943026,38220.7,0.5541,0.4459,39.20999908,58.5,0.560000002,1.620000005,9.279999733,5.059999943,97.77999878,20600,19400,0.2857,2,0.0317,0.9077,0.0317,0.0026,0,0,0,0.0264,0,0.0176,0.9296,0.0018,0,0.007
South University-Montgomery,Montgomery,AL,36116,32.342684,-86.216488,7,NULL,NULL,0,0,0,0,0,0,0.1009,0,0,0,0,0,0,0.0642,0,0,0,0,0,0,0,0,0,0,0,0,0.0092,0.055,0,0,0,0,0,0,0,0.6881,0.0826,0,460,0,0,0.256,0.744,0,0,0,27628,NULL,0.7304,25000,0.7661443,55764.27,0.25,0.75,65.22000122,28.55999947,1.74000001,6.610000134,14.64999962,7.849999905,91.06999969,30300,29300,0,3,0.3283,0.5913,0.0217,0.0152,0.0109,0.0087,0,0.0022,0.0217,0,0,0,0,0
Enterprise State Community College,Enterprise,AL,36330-1300,31.297496,-85.836956,2,NULL,NULL,0,0,0,0,0,0,0.0243,0,0,0,0,0,0.0121,0.0162,0,0.3927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3684,0,0,0,0.0202,0.166,0,1528,0,0.017,0.7195,0.1899,0.0289,0.0113,0.0333,9345,NULL,0.2128,7155,0.50463353,44274,0.5177,0.4823,74.08000183,21.04999924,1.200000048,3.25999999,11.36999989,5.800000191,94.80000305,29800,25800,NULL,1,0.6296,0.2435,0.0582,0.0216,0.0046,0.0033,0.0334,0.0007,0.0052,0,0,0,0,0
James H Faulkner State Community College,Bay Minette,AL,36507-2698,30.852045,-87.779758,2,NULL,NULL,0.0058,0,0,0,0,0.0136,0.033,0,0,0,0.0019,0,0,0.0117,0,0.4641,0,0,0,0,0,0.0058,0,0,0,0,0,0,0,0,0.0019,0.0214,0.0039,0,0.0233,0.2951,0.1184,0,4372,0.004,0.0032,0.8595,0.1124,0.0054,0.0097,0.0058,11578,NULL,0.5107,11000,0.659747292,52162.04,0.384,0.616,76.16999817,20.29999924,0.769999981,1.559999943,12.59000015,6.75,97.33000183,28700,23800,NULL,1,0.6921,0.2246,0.0341,0.0089,0.0185,0.0018,0.0165,0.0016,0.0018,0,0,0,0,0
Faulkner University,Montgomery,AL,36109-3390,32.384181,-86.21641,9,0.573,985,0,0,0,0,0,0,0.0112,0,0.0412,0,0,0,0,0.015,0.015,0.03,0,0.0112,0.0037,0,0,0.0318,0,0.0094,0,0,0.0206,0.1592,0,0.0075,0,0,0,0,0.0225,0.0412,0.5768,0.0037,2282,0.0114,0.0082,0.5784,0.3725,0.0065,0.0098,0.0131,30539,NULL,0.7105,21750,0.608275121,52330.99,0.3874,0.6126,64.87999725,31.88999939,1.049999952,1.809999943,14.55000019,7.849999905,96.58999634,35900,29800,0.5234,2,0.3996,0.5079,0.0241,0.0026,0.0061,0.0026,0.0193,0.0215,0.0162,0.4006,0.5149,0.003,0.0045,0.0086
Gadsden State Community College,Gadsden,AL,35903,33.991866,-85.991299,2,NULL,NULL,0.0039,0,0,0,0,0,0.0176,0.0273,0,0,0.1783,0,0.0325,0.0163,0,0.1457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111,0.2518,0.0683,0,0,0.1789,0.0683,0,4613,0.0491,0.0033,0.7556,0.1746,0.0038,0.0056,0.0079,9607,NULL,0,PrivacySuppressed,0.615544042,43919.51,0.3909,0.6091,80.38999939,16.82999992,0.449999988,2.170000076,7.929999828,5.199999809,97.47000122,25400,19800,NULL,1,0.6978,0.1968,0.0308,0.0046,0.0113,0.0011,0.0269,0.0212,0.0095,0,0,0,0,0
New Beginning College of Cosmetology,Albertville,AL,35951,34.27871,-86.196931,-2,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13559,0.5749,5500,PrivacySuppressed,NULL,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0.8791,0.022,0.0989,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL
George C Wallace State Community College-Dothan,Dothan,AL,36303-9234,31.316086,-85.46355,2,NULL,NULL,0,0,0,0,0,0,0.0142,0.0385,0,0,0.079,0,0.0537,0,0,0.232,0,0,0,0,0,0,0,0,0,0.003,0,0.0314,0,0,0.0638,0.0284,0.0496,0,0,0.381,0.0253,0,4173,0.0039,0.0072,0.7096,0.2539,0.0102,0.0044,0.0108,8899,NULL,0,PrivacySuppressed,0.664006385,43000.16,0.3412,0.6588,69.33000183,27.76000023,0.579999983,1.919999957,10.15999985,5.329999924,97.13999939,24800,20500,NULL,1,0.6348,0.3094,0.0268,0.0065,0.0055,0.0017,0.0134,0,0.0019,0,0,0,0,0
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,34.07341,-86.781745,2,NULL,NULL,0,0,0,0,0,0,0.0127,0.0264,0,0,0.0437,0,0.0045,0.0109,0,0.2247,0,0,0,0,0.0637,0,0,0,0,0,0,0.0237,0,0,0,0.0473,0.0328,0.0146,0.0073,0.4559,0.0318,0,4821,0.0053,0,0.9508,0.0345,0.003,0.0028,0.0036,11483,NULL,0.3915,11000,0.622588675,47769.34,0.37,0.63,90.56999969,6.619999886,0.319999993,2.549999952,8.550000191,4.840000153,97.48999786,31100,26400,NULL,1,0.8486,0.0631,0.038,0.0073,0.0097,0,0,0.0075,0.0259,0.9062,0.0493,0.0035,0.0095,0.0121
George C Wallace State Community College-Selma,Selma,AL,36703-2808,32.445611,-87.01324,2,NULL,NULL,0,0,0,0,0,0,0.0151,0.063,0,0,0.0126,0,0,0,0,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1385,0.0252,0.1738,0,0,0.1814,0.0554,0,1383,0,0.0007,0.4997,0.4927,0.0042,0,0.0028,14195,NULL,0,PrivacySuppressed,0.619695757,35579.05,0.3427,0.6573,43.15000153,55.31999969,0.330000013,1.110000014,8.090000153,5.380000114,98.68000031,23100,20000,NULL,1,0.1902,0.7628,0.0072,0.0029,0.0022,0,0.0043,0.0051,0.0253,0,0,0,0,0
Herzing University-Birmingham,Birmingham,AL,35209,33.468105,-86.832299,5,0.9541,NULL,0,0,0,0,0,0,0.0169,0,0,0,0.0506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169,0,0,0,0,0,0,0,0.8596,0.0562,0,360,0,0,0.6311,0.3689,0,0,0,26546,NULL,0.7219,23713.5,0.816097279,46871.43,0.4889,0.5111,50.38000107,47.15999985,0.709999979,1.679999948,12.84000015,6.679999828,97.38999939,40300,28200,0,3,0.3722,0.5083,0.0333,0,0.0028,0.0056,0.0444,0,0.0333,0.2847,0.6141,0,0,0
Huntingdon College,Montgomery,AL,36106-2148,32.350939,-86.285313,9,0.5769,992,0,0,0,0,0.039,0,0,0,0.1039,0,0,0,0,0,0.0087,0,0,0.0823,0.0173,0,0,0.0823,0.0173,0.0087,0.0303,0,0.039,0,0,0.013,0,0,0,0,0.0303,0.0216,0.4848,0.0216,1160,0.035,0.0107,0.8661,0.0639,0.0137,0.0091,0.0015,33434,NULL,0.6862,26477.5,0.506912442,54037.99,0.4991,0.5009,73.19999695,23.67000008,0.930000007,1.909999967,13.72999954,7.639999866,96.66000366,36800,29200,0,2,0.631,0.2164,0.0345,0.006,0.0095,0.0009,0.031,0.0017,0.069,0.5998,0.1649,0.0056,0.0028,0.0122
Heritage Christian University,Florence,AL,35630-9977,34.859089,-87.662062,5,0.7,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0.0947,0.0105,0.7579,0.1158,0,0,0.0211,19530,NULL,0.3226,PrivacySuppressed,PrivacySuppressed,51048.04,0.9483,0.0517,80.48000336,15.03999996,0.810000002,4.360000134,12.60000038,6.699999809,95.87000275,PrivacySuppressed,PrivacySuppressed,0,2,0.7586,0.1552,0.0172,0,0.0345,0,0.0172,0.0172,0,0,0,0,0,0
J F Drake State Community and Technical College,Huntsville,AL,35811,34.772116,-86.573817,2,NULL,NULL,0,0,0,0,0,0,0.0476,0.1587,0,0,0.1349,0,0,0,0,0.0238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238,0.0317,0.119,0,0,0.2857,0.1746,0,820,0.0221,0.0166,0.4567,0.4696,0.0129,0.0147,0.0074,12168,NULL,0,PrivacySuppressed,0.551558753,52646.49,0.4524,0.5476,61.99000168,33.29000092,1.299999952,2.180000067,16.54999924,8.350000381,94.81999969,22200,18800,NULL,1,0.3671,0.5561,0.0195,0.0073,0.0134,0,0.0207,0.0098,0.0061,0,0,0,0,0
Jacksonville State University,Jacksonville,AL,36265,33.822128,-85.766644,13,0.6665,1062,0,0,0,0,0.0354,0,0.0226,0,0.0663,0,0.0264,0.0023,0.0324,0,0.0286,0.0565,0,0.0444,0.0075,0,0,0.009,0,0,0.0128,0,0.0256,0.0602,0.0587,0.0294,0,0,0,0,0.0444,0.2877,0.1295,0.0203,6625,0.0237,0.0043,0.7597,0.1893,0.0086,0.0066,0.0077,20030,NULL,0.6746,23250,0.575328265,48389.27,0.4312,0.5688,76.95999908,19.70000076,0.670000017,2.660000086,9.93999958,5.869999886,96.69000244,35000,27200,0,1,0.6981,0.2214,0.0124,0.0059,0.0075,0.0006,0,0.026,0.0281,0,0,0,0,0
Jefferson Davis Community College,Brewton,AL,36426,31.101995,-87.085829,2,NULL,NULL,0,0,0,0,0,0,0,0.0565,0,0,0.0565,0,0.004,0,0,0.3185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1008,0.1895,0,0,0.25,0.0242,0,1036,0.0009,0.0115,0.6191,0.3357,0.0053,0.0168,0.0106,9175,NULL,0,PrivacySuppressed,0.619548872,40521.77,0.4392,0.5608,66.87999725,28.95999908,0.430000007,1.220000029,7.349999905,4.03000021,98.45999908,24100,23300,NULL,1,0.5647,0.3098,0.0068,0.0203,0.0193,0,0.0145,0,0.0647,0,0,0,0,0
Jefferson State Community College,Birmingham,AL,35215-3098,33.652439,-86.707387,1,NULL,NULL,0,0,0,0,0,0,0.0534,0.0633,0,0,0.0709,0,0.0282,0,0,0.2477,0,0,0,0,0,0,0,0,0,0,0,0.0488,0,0,0,0,0,0,0,0.2713,0.2165,0,7381,0.0386,0.0055,0.7551,0.1808,0.011,0.0034,0.0057,13311,NULL,0.2156,8500,0.661073826,57833.36,0.3842,0.6158,70.63999939,26.69000053,0.800000012,1.809999943,15.07999992,7.309999943,97.19000244,30100,26600,NULL,1,0.6708,0.2187,0.0377,0.0191,0.0031,0.0011,0.0285,0.0207,0.0004,0,0,0,0,0
John C Calhoun State Community College,Tanner,AL,35671,34.65428,-86.949131,1,NULL,NULL,0.0223,0,0,0,0,0,0.0427,0.0045,0,0,0.1223,0,0.0115,0,0,0.4032,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0.0127,0,0.0134,0,0.0146,0.3223,0.0293,0,8547,0,0.0201,0.7272,0.185,0.0196,0.0347,0.0135,9835,NULL,0.2877,11000,0.601906,56005.43,0.4483,0.5517,75.84999847,19.37000084,1.149999976,2.549999952,16.21999931,7.880000114,95.73000336,27300,22800,NULL,1,0.6595,0.1864,0.0461,0.0296,0.0161,0.0004,0.0424,0.0075,0.0121,0,0,0,0,0
Judson College,Marion,AL,36756,32.630526,-87.316127,9,0.6292,1031,0.0615,0,0,0,0,0,0,0,0.0615,0,0,0,0,0,0.0154,0,0,0.1231,0,0,0,0,0.0308,0,0.0462,0,0.1231,0.0308,0.0308,0.0154,0,0,0,0,0.1077,0.2462,0.0615,0.0462,373,0.0093,0,0.8442,0.1371,0.0062,0,0.0031,29742,NULL,0.6614,PrivacySuppressed,PrivacySuppressed,46522.29,0.0402,0.9598,72.30000305,24.63999939,0.569999993,2.700000048,9.979999542,5.510000229,97.05000305,27800,22200,0,2,0.7802,0.1555,0.008,0.0054,0.0054,0.0027,0.0134,0.0188,0.0107,0.8243,0.1246,0.0128,0.0032,0.016
Lawson State Community College-Birmingham Campus,Birmingham,AL,35221-1717,33.451673,-86.890234,2,NULL,NULL,0,0,0,0,0,0.0086,0.0411,0.0291,0,0,0.2295,0,0.0394,0,0,0.2226,0,0,0,0,0.0274,0,0,0,0,0,0,0.0068,0.0034,0.0034,0.0462,0.0993,0.0445,0,0.0325,0.0805,0.0856,0,3003,0,0.003,0.0197,0.9749,0.0006,0.0012,0.0006,13595,NULL,0,PrivacySuppressed,0.581560284,40437.86,0.4156,0.5844,33.52000046,64.48999786,0.479999989,1.379999995,10.14999962,5.170000076,98.01000214,24000,19700,NULL,1,0.1532,0.8149,0.011,0.0067,0.0023,0.0013,0.0073,0.0017,0.0017,0,0,0,0,0
University of West Alabama,Livingston,AL,35470,32.59244,-88.186077,13,0.7347,930,0,0,0,0,0.0571,0,0,0,0.1878,0,0.0245,0,0,0,0.0122,0,0,0.0776,0.0286,0,0.0163,0.0449,0,0,0.0163,0,0.0367,0,0,0.0204,0,0.0245,0,0,0,0.2,0.2286,0.0245,1913,0.0075,0,0.5856,0.3969,0.0019,0.0038,0.0044,17848,NULL,0.6826,26489,0.534671533,40238.44,0.4459,0.5541,55.49000168,42.47999954,0.400000006,1.710000038,9.050000191,5.190000057,98.01999664,36200,25200,0.3029,1,0.4511,0.4004,0.0225,0.0026,0.0016,0.0016,0.0183,0.0633,0.0387,0,0,0,0,0
Lurleen B Wallace Community College,Andalusia,AL,36420-1418,31.322947,-86.452262,3,NULL,NULL,0,0.0336,0,0,0,0,0.0308,0.0784,0,0,0.028,0,0.0336,0,0,0.2941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1289,0.0784,0,0,0.2745,0.0196,0,1412,0,0,0.8404,0.1509,0,0.005,0.0037,12603,NULL,0,PrivacySuppressed,0.616561656,37073.95,0.4051,0.5949,74.44999695,23.57999992,0.289999992,1.179999948,7.900000095,4.300000191,98.34999847,25500,21900,NULL,1,0.699,0.267,0.0113,0.0035,0.0057,0,0.0135,0,0,0,0,0,0,0
Marion Military Institute,Marion,AL,36756-3207,32.622359,-87.317998,4,0.5918,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0.64,0.16,0.0971,0.0114,0.0914,16328,NULL,0.6036,11500,0.196850394,56305.23,0.8022,0.1978,72.26999664,21.42000008,1.620000005,7.429999828,14.07999992,7.5,92.75,45900,33900,NULL,1,0.6067,0.2089,0.0911,0.0222,0.0067,0.0044,0.0489,0,0.0111,0,0,0,0,0
Miles College,Fairfield,AL,35064-2621,33.481306,-86.908605,11,NULL,NULL,0,0.0227,0,0,0.0773,0,0.0409,0,0.0409,0,0,0,0.0455,0,0.0182,0,0,0.0864,0.0045,0,0,0,0,0,0.0091,0,0,0.2136,0.0955,0.0182,0,0,0,0,0.0364,0,0.2545,0.0364,1869,0,0,0,1,0,0,0,22168,NULL,0.9108,36172,0.477150538,43157.79,0.5029,0.4971,35.88000107,60.72000122,0.939999998,2.819999933,11.27000046,5.920000076,96.09999847,25300,20200,0,2,0.0161,0.9674,0.0075,0.0005,0,0,0.0075,0,0.0011,0.014,0.9827,0.0006,0,0.0028
University of Mobile,Mobile,AL,36613-2842,30.793247,-88.128934,13,0.6051,1025,0,0,0,0,0.0303,0,0.0121,0,0.1727,0,0,0,0,0,0.003,0.0515,0,0.0394,0.0121,0,0.0303,0.0303,0.0606,0.0394,0,0,0.0212,0,0,0.0424,0,0,0,0,0.0394,0.2485,0.1636,0.003,1437,0.0142,0.1361,0.6264,0.1984,0.004,0.0113,0.0096,32349,NULL,0.7729,25875,0.680047226,51833.34,0.3681,0.6319,71.04000092,25.10000038,1.029999971,2.319999933,12.68000031,6.710000038,96.81999969,35000,29600,0,2,0.6159,0.2296,0.0174,0.007,0.0167,0.0014,0.0285,0.0487,0.0348,0,0,0,0,0
University of Montevallo,Montevallo,AL,35115-6000,33.10625,-86.865099,13,0.7001,1069,0,0,0,0,0.0533,0,0,0,0.06,0,0,0.0333,0.0333,0,0.1033,0,0,0.0433,0.0233,0,0,0.06,0,0,0.0233,0,0.0867,0,0.03,0.0367,0,0,0,0,0.14,0.0933,0.13,0.05,2553,0.0203,0.0117,0.8111,0.1392,0.0051,0.0055,0.007,22840,NULL,0.5755,23383,0.667274385,59047.15,0.3298,0.6702,77.80000305,19.29999924,0.75999999,2.079999924,15.84000015,7.920000076,97.08999634,33100,27100,0.291,1,0.7164,0.1492,0.0372,0.0078,0.0051,0,0.0247,0.0141,0.0454,0.7486,0.1013,0.0503,0.0059,0.0216
Northwest-Shoals Community College,Muscle Shoals,AL,35661,34.739567,-87.67733,2,NULL,NULL,0,0,0,0,0,0,0.0178,0.047,0,0,0.0373,0,0.0357,0,0,0.2058,0,0,0,0,0.0827,0,0,0,0,0,0,0.0081,0,0,0.0276,0.0681,0.0632,0,0,0.342,0.0648,0,3047,0.0159,0,0.8288,0.1325,0.001,0.0165,0.0052,11060,NULL,0.2845,11000,0.601134216,43283.31,0.4099,0.5901,85.79000092,11.15999985,0.280000001,2.230000019,8.880000114,5.139999866,97.94999695,25000,22000,NULL,1,0.7762,0.1339,0.041,0.0036,0.0098,0.0007,0.0026,0.003,0.0292,0.019,0.0028,0,0.0005,0
